id,label
12534,0
14649,0
14715,0
16453,5
11170,0
14090,0
14628,2
14868,0
15701,2
16737,2
16802,2
18812,4
10077,0
11901,0
13041,2
14533,5
14593,0
17636,0
18616,4
13828,2
15110,2
15329,0
15466,0
15533,0
15820,5
16433,0
16734,5
18162,0
18465,0
18667,0
10167,5
11586,2
11655,0
12842,2
13744,5
14179,0
14629,4
15787,5
16705,2
18751,4
11453,2
12615,0
13691,2
11819,2
16250,5
17227,2
17561,4
18401,0
19326,2
11478,0
15293,0
15298,0
18057,5
19255,0
10826,2
10882,2
16421,2
17435,0
19209,0
19547,4
10884,2
18601,2
19996,0
12102,5
12338,2
13951,0
15694,0
10295,0
10725,0
11498,0
15214,2
17235,0
18468,4
18793,0
19779,5
13569,5
13667,0
15840,0
16747,0
17119,2
17618,0
18705,0
12176,0
12463,0
12868,0
13253,0
14370,0
17623,2
12075,5
12472,2
13207,2
15712,0
16394,0
17902,0
10936,0
12188,5
13351,0
14792,4
15764,5
16193,0
16466,2
16848,0
17009,0
19684,0
12979,5
13005,0
13335,5
14612,0
15235,2
16132,0
16291,2
16543,0
17961,0
10014,0
10943,0
11818,2
14726,0
19224,0
19992,0
10975,0
11783,2
15732,5
15766,0
12403,0
12804,0
15605,0
16872,5
18838,2
10804,0
11388,0
13457,0
13505,2
14766,0
15058,2
18236,5
18315,0
18556,0
19645,0
11979,0
12375,5
12480,0
12766,2
14236,2
14884,0
15189,2
16351,0
19635,0
11154,2
14836,0
16100,0
19363,4
10264,0
13247,2
14515,0
14577,0
14646,5
17652,5
17860,0
18265,0
19842,2
15295,0
16040,5
16971,0
17873,0
12156,5
13021,5
15115,5
15874,0
16711,0
18355,2
18968,0
19141,5
14916,0
15311,2
15518,2
16069,0
17432,2
11232,4
11598,0
12429,4
14420,0
17209,4
17556,4
17921,0
18486,0
13470,2
13850,4
15882,2
17159,5
17886,4
19512,2
13610,0
15198,0
16276,0
16907,2
18343,0
19431,0
10375,0
11378,0
12401,4
15232,0
10394,0
11523,5
12241,0
12847,4
12864,0
13820,0
14115,0
14146,2
14303,5
16879,0
19011,2
10508,2
12528,0
13510,5
15727,0
17815,0
10880,0
13921,0
14165,0
14998,0
10680,5
15654,0
17191,2
18243,0
10134,0
10206,2
11850,2
12716,0
15453,0
15794,0
16653,0
18603,0
19290,4
10830,0
12735,4
14110,0
16174,0
17163,4
17791,0
10516,0
10865,0
11930,0
12888,5
13072,2
13169,2
13498,0
16011,0
16127,0
12721,0
13556,0
14584,0
15366,2
17013,0
17059,0
17081,5
19982,0
11690,2
12924,5
17703,5
19036,0
11369,2
13272,5
13990,4
14101,0
15867,0
16179,0
17121,2
17324,0
18140,2
19107,0
19222,0
19231,2
11738,0
12399,2
14062,5
14651,0
15646,0
16590,5
18208,0
19085,2
10517,2
14231,2
14288,2
14386,0
14687,0
15561,5
17109,0
17385,5
18613,0
11632,2
12523,5
12900,0
14396,0
15861,4
18704,5
19670,0
10609,2
11068,2
12434,0
15586,5
15600,2
16965,0
17208,5
19714,2
13869,5
14326,2
14566,2
10402,4
10495,5
11672,2
12909,2
14878,0
15472,2
17327,0
11199,2
11495,5
13355,0
14790,5
17110,0
18165,2
18232,5
11009,0
13939,4
14987,0
15222,0
15807,2
17931,5
18116,0
18154,0
14034,5
14736,2
16832,5
18581,2
19916,2
11955,0
12222,0
12669,5
12894,0
16930,5
10373,0
10420,0
10492,2
11001,0
12105,0
12486,0
13688,2
17116,5
18413,2
18895,2
19427,0
19860,0
10879,5
15952,0
16219,2
17750,5
17814,2
18489,0
18548,4
10107,5
11186,2
11704,0
11994,0
13044,5
16938,2
17829,2
18048,2
18903,0
13370,0
13388,0
14828,0
15154,2
18433,2
18822,5
12405,0
12764,4
15706,0
16494,2
17239,5
18848,2
19310,0
10136,0
11083,5
13880,5
16156,0
17445,2
11166,2
11683,0
11889,2
14464,0
14721,0
14806,5
15081,5
18280,0
18388,0
18395,0
10349,0
14676,0
15341,0
15479,0
16515,2
16913,5
16979,2
18008,5
10160,0
11203,0
11803,2
15379,0
15710,4
16491,0
17030,0
17407,0
18491,2
12474,5
13473,0
15671,5
16327,4
18447,0
19155,0
10143,0
10984,0
10986,2
11089,5
11296,2
13813,0
14548,0
16144,5
18100,0
19010,5
19400,0
10452,2
11750,5
12593,5
12914,0
15097,2
16695,5
17792,5
11560,2
11868,0
12212,0
12554,0
13484,2
14280,0
10982,5
13663,0
13935,0
15407,0
15881,2
18651,2
18996,0
10757,2
10835,5
11144,2
11761,5
13213,2
15079,2
15394,4
15536,5
16851,0
18299,0
19192,5
19387,5
13435,0
13515,5
15504,0
15949,0
11845,5
13065,5
15025,2
15708,0
16672,0
18519,0
11444,5
12407,5
13508,0
13783,5
16340,0
16822,5
12408,5
12925,5
13747,0
14930,0
15355,0
15542,2
16272,0
10500,5
11637,2
12324,0
12536,5
13687,4
14431,0
14592,5
16347,4
16380,2
14468,2
15870,2
16148,0
16633,2
18193,0
19265,0
12252,0
13028,5
14445,0
15775,0
18132,0
10887,2
11100,0
11192,2
11641,0
13022,2
13208,4
14325,0
16811,0
17195,0
19799,0
10546,2
10685,0
10761,0
10961,0
11718,0
12158,2
13159,2
13326,0
13991,0
14506,0
14528,4
16322,0
15566,2
15630,4
15717,2
16983,5
17320,0
18038,0
19807,0
10317,2
11206,0
11741,4
12564,2
12582,0
12679,0
14866,5
18695,0
10233,5
12028,0
12630,2
13873,0
14487,0
15187,0
15991,0
16087,0
16967,5
17037,2
17242,0
13924,0
14041,2
15420,2
19556,0
19903,0
12974,0
15028,0
17371,0
18350,2
11209,2
11431,0
14959,2
15743,0
11726,2
17893,5
18375,0
18687,0
18770,0
13481,0
15288,0
15370,0
16987,0
17579,2
