id,label
12554,1
14860,0
15952,1
17886,1
18912,1
10984,1
15559,4
15587,4
15851,1
15869,0
19838,1
11492,1
11691,4
12576,4
13606,4
13935,1
14573,1
14577,1
15342,4
15460,0
16327,4
17105,0
17763,1
17893,4
18063,1
18698,4
19469,1
10018,4
10221,5
10661,4
14104,1
14632,1
15469,4
17284,4
18483,1
19718,4
19777,3
11534,4
11934,4
12840,1
14787,3
15323,1
15536,4
17820,3
18204,0
18653,2
19182,0
10743,4
13132,3
13328,0
14813,4
15441,1
17947,1
10528,4
10628,0
11089,1
11331,0
12813,1
12823,0
12891,1
15991,0
16433,4
16535,1
16776,1
17445,4
17633,2
18895,4
10511,1
11123,0
11894,0
12105,1
13245,4
13735,1
14546,1
15026,4
16258,1
17863,3
18241,1
18556,4
18626,1
19261,1
19553,0
14870,4
15461,4
17106,1
19588,3
11433,4
11853,4
13021,4
14132,0
15176,4
19888,1
19957,1
10669,1
10871,4
11525,1
12028,1
12032,0
12075,1
13746,3
13869,1
14261,0
15330,1
15539,3
16253,0
17874,3
18701,4
10147,0
10526,4
10858,0
11069,4
11252,0
11637,1
11836,0
12864,4
13688,4
15140,1
17768,4
19962,1
12918,1
14087,1
14444,1
14556,4
15632,4
16711,0
17533,4
18233,0
19149,3
12252,4
12551,4
13219,1
14256,3
16431,3
16601,4
17623,1
19161,4
10785,0
10818,1
11966,1
11986,1
12620,4
13549,2
14516,1
17519,1
17595,1
17815,0
18664,0
18674,4
19012,1
19948,1
10083,0
10461,4
10961,1
12015,2
12193,0
12463,1
12810,4
13899,4
14876,1
15817,1
15900,4
15914,4
16250,1
16511,4
17116,1
17914,4
18350,1
19488,4
10649,1
10685,1
10708,4
11104,4
13553,1
15329,4
16936,4
17239,1
17503,0
17998,1
18193,4
10425,2
12672,1
13936,1
14600,0
15198,4
16913,1
17724,3
17943,1
19190,4
19540,3
19993,4
10127,1
10388,3
11808,1
11864,1
12332,4
12909,4
15485,1
16536,1
16609,0
16862,1
18348,2
19908,0
10081,1
10101,0
10865,1
11085,4
13218,1
13575,1
14077,4
16738,4
17514,3
17921,1
18171,1
18968,4
19938,0
10750,4
11001,1
12577,4
14806,1
15564,0
15923,4
16119,1
17361,0
17407,4
17458,3
18232,1
18588,1
10367,0
11149,1
11652,0
13535,1
14928,0
17208,1
17567,4
17628,1
17952,1
18265,4
10419,1
12082,0
13516,4
13533,3
13642,3
13849,0
14276,4
15405,4
15598,1
17355,1
19173,0
10561,4
11782,3
12025,1
12222,1
12528,1
15115,2
16233,1
16896,2
17816,0
18320,2
11761,0
11840,1
12326,0
12721,4
13039,0
14396,4
15394,0
15946,3
16996,4
17179,1
17559,4
18096,3
18145,1
18365,4
18377,4
19416,0
10117,1
11136,1
11452,0
11984,0
12976,1
13435,1
15166,1
15504,0
16695,1
17339,1
18170,4
18745,4
19357,1
19726,1
11261,2
12492,4
12517,1
17119,0
17949,1
18684,1
19131,1
19209,1
10870,0
10993,1
11292,4
11369,4
12372,1
12615,4
15519,4
15824,1
16209,4
17923,1
18956,0
19912,1
10403,1
12420,4
12548,1
12702,4
15811,1
17396,1
11805,1
12523,1
13934,4
14423,1
14548,1
14866,2
15965,1
16199,1
17573,0
18236,1
18486,4
10680,1
10711,4
10982,1
11138,1
11213,4
11431,0
12586,3
12716,4
13721,3
15306,3
15778,1
15847,1
16012,4
16282,4
10264,0
11182,1
11834,3
11845,0
12703,3
13387,1
14218,4
15558,4
15832,1
16633,4
16687,1
18780,4
19236,0
10579,4
10861,1
12581,1
13251,3
13650,3
13880,1
15512,4
15675,4
16393,4
16587,1
17771,4
18667,4
19036,4
19106,5
13951,1
15030,0
15366,1
16147,1
18616,4
19475,4
10774,1
11100,0
11206,0
11377,1
12055,1
13257,4
13370,1
16584,1
10037,3
10556,4
10725,1
11576,1
11979,4
12121,0
13059,4
13986,3
14464,0
14802,0
15764,1
16069,4
10430,0
14022,1
17669,1
18948,1
10123,4
10136,4
10163,1
