id,zhuhuichang,zhanting,room1,room2,haibaoqu,A,B,C,D,qiandao,fuwu,room3,room4,room5,room6,blank,label
10000,4917,0,0,0,59,2716,0,0,0,232,0,0,0,0,0,1195,1
10002,3572,0,0,0,512,0,3731,0,0,398,0,0,0,0,0,971,3
10003,6285,0,0,0,50,1861,0,0,0,422,0,0,0,0,0,1231,1
10004,2724,292,0,0,69,0,4094,0,0,176,0,0,0,0,0,1776,3
10012,2243,7169,706,0,0,0,0,0,0,171,14,0,0,0,0,469,2
10014,6153,0,0,0,381,2513,0,0,0,382,17,0,0,0,0,1075,1
10015,4273,2291,0,0,463,0,1632,0,0,268,0,0,0,0,0,1275,2
10021,3252,2823,0,0,41,0,0,0,0,218,15,568,0,0,0,1735,2
10022,1667,2901,0,0,23,0,0,0,0,437,0,0,0,0,0,1197,2
10026,4978,884,0,0,56,2277,0,0,0,167,14,0,0,0,0,1162,1
10027,6626,271,0,0,48,2576,0,0,0,251,129,0,0,0,0,1368,1
10032,0,0,0,0,28,0,6282,0,0,266,0,0,0,0,0,1156,3
10033,0,0,0,0,60,0,0,6546,0,430,0,0,0,0,0,1196,0
10037,0,0,0,0,0,0,0,0,0,211,0,0,0,8858,0,771,4
10041,0,0,0,0,0,0,0,0,0,375,0,0,0,7675,0,276,4
10045,6076,0,0,0,27,2207,0,0,0,188,0,0,0,0,0,1192,1
10046,0,0,0,0,0,0,0,0,0,399,0,0,0,8385,0,1286,4
10051,6565,934,0,0,21,2298,0,0,0,451,7,0,0,0,0,1433,1
10053,5379,1243,0,0,39,2378,0,0,0,453,0,0,0,0,0,815,1
10056,8264,620,0,0,0,0,0,0,0,308,0,0,0,0,0,1891,1
10058,5539,0,0,0,62,0,2595,0,0,278,15,0,0,0,0,1931,1
10077,5126,459,0,0,793,0,3855,0,0,394,7,0,0,0,0,1171,1
10080,0,606,0,0,75,0,0,5375,0,209,14,0,0,0,0,1443,0
10084,5412,259,463,0,32,0,2551,0,0,295,7,0,0,0,0,1687,1
10085,1497,0,0,0,44,0,737,0,0,193,0,0,0,0,0,1722,2
10088,0,0,0,0,183,6601,0,0,0,281,0,0,0,0,0,536,5
10090,0,0,0,0,328,0,0,0,0,217,0,0,0,8443,0,526,4
10091,0,0,0,0,29,0,4463,0,0,295,0,0,0,0,0,515,3
10093,0,767,0,0,51,0,0,5915,0,241,0,0,0,0,0,1151,0
10101,7469,0,501,0,0,0,0,0,0,310,0,0,0,0,0,1303,1
10109,0,0,0,0,965,0,4930,0,0,166,0,0,0,0,0,854,3
10111,0,0,0,1474,378,0,0,0,0,0,0,0,0,0,0,229,6
10112,0,0,0,0,348,0,0,6010,0,365,0,0,0,0,0,1051,0
10115,7665,680,0,0,379,0,0,0,0,334,14,0,0,0,0,1398,1
10117,6707,0,0,0,24,0,0,0,0,251,14,0,0,0,0,1869,1
10121,0,240,0,0,0,0,0,0,0,281,0,0,0,8594,0,411,4
10123,4484,1329,655,0,49,0,0,0,0,268,14,0,0,0,0,3159,1
10127,8121,0,0,0,0,0,0,0,0,380,7,430,0,0,0,1898,1
10134,8984,822,0,0,0,0,0,0,0,319,9,0,0,0,0,713,1
10135,0,0,0,0,0,0,0,2857,0,212,0,0,0,0,0,166,0
10136,5568,0,0,0,396,0,2945,0,0,382,0,0,0,0,0,1964,1
10137,5154,1262,0,0,85,2071,0,0,0,259,0,0,0,0,0,1943,1
10142,0,0,0,0,134,0,5929,0,0,320,0,0,0,0,0,1001,3
10143,5546,59,0,0,0,0,0,0,0,422,9,0,0,0,0,1857,1
10145,2041,0,0,0,1095,0,0,0,0,250,7,0,0,0,0,584,2
10146,5652,1301,0,0,32,2263,0,0,0,259,0,0,0,0,0,1179,1
10150,7552,345,458,0,430,0,0,0,0,332,0,0,0,0,0,1307,1
10151,4881,0,0,0,0,0,0,0,0,420,0,0,0,0,0,599,1
10152,4954,0,0,0,589,2494,0,0,0,437,0,0,0,0,0,860,1
10155,0,1447,0,0,607,0,3775,0,0,231,123,0,0,0,0,899,3
10157,0,199,0,0,462,0,5614,0,0,415,110,0,0,0,0,859,3
10162,5193,0,0,0,44,0,3248,0,0,282,20,0,0,0,0,1946,1
10163,5324,0,0,0,111,0,2516,0,0,339,9,546,0,0,0,2458,1
10164,0,0,0,0,0,0,0,0,0,13481,0,0,0,0,2267,607,8
10170,4770,0,0,0,368,1597,0,0,0,439,17,0,0,0,0,1061,1
10171,0,0,0,0,52,0,6222,0,0,177,0,0,0,0,0,1682,3
10172,1746,6913,0,0,0,0,0,0,0,364,0,0,0,0,0,556,2
10174,0,0,0,0,39,0,5631,0,0,357,0,0,0,0,0,1392,3
10175,0,0,0,0,71,0,0,4825,0,377,14,0,0,0,0,1342,0
10178,6547,0,0,0,77,2539,0,0,0,357,0,0,0,0,0,1684,1
10181,5286,0,0,1751,21,2595,0,0,0,0,0,0,0,0,0,693,6
10182,5090,576,0,0,70,0,1909,0,0,262,17,0,0,0,0,1715,1
10192,0,0,0,0,498,0,0,0,0,194,0,0,0,0,0,2096,2
10193,2186,0,0,0,352,0,3822,0,0,338,0,0,0,0,0,2025,3
10194,5095,0,0,0,43,2498,0,0,0,371,9,0,0,0,0,2372,1
