id,zhuhuichang,zhanting,room1,room2,haibaoqu,A,B,C,D,qiandao,fuwu,room3,room4,room5,room6,blank,label
10000,9066,2961,1255,0,888,0,5220,0,0,344,9,799,0,0,0,4633,4
10002,9141,2328,1268,0,432,2136,0,5238,0,388,9,605,0,0,0,4564,0
10003,9882,0,1248,0,628,0,0,4303,0,340,0,0,0,0,0,3727,0
10004,8686,853,842,0,109,0,0,5882,0,221,8,0,0,0,0,3596,0
10005,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,292,2
10012,10331,1639,1551,0,72,2337,0,4335,0,251,17,0,0,0,0,3974,0
10014,9718,420,0,0,320,0,0,0,9389,443,33,593,0,0,0,4391,1
10015,10984,1801,0,0,444,1713,5973,2419,0,315,0,0,0,0,0,6177,4
10018,9927,378,921,0,872,0,5437,0,0,192,16,640,0,0,0,4450,4
10019,2583,2582,2148,13348,697,2732,0,0,0,0,0,737,0,0,0,5114,6
10021,10548,880,0,0,0,0,0,0,0,162,0,0,0,0,0,1160,1
10022,9610,2249,0,0,62,0,0,7598,0,488,0,0,0,0,0,3976,0
10023,0,3027,0,0,0,0,0,0,0,237,0,0,0,0,0,157,2
10026,11309,693,0,0,0,0,0,0,0,236,9,0,0,0,0,780,1
10027,9603,492,1177,0,85,0,0,0,6771,255,113,0,0,0,0,4226,1
10032,0,0,2932,0,140,0,0,0,6412,324,0,0,0,0,0,4068,2
10037,0,0,433,0,0,0,0,0,0,307,0,0,0,20314,0,1839,3
10041,0,0,797,0,22,0,0,0,0,391,0,0,0,25455,0,1821,3
10043,0,0,0,0,581,0,0,0,0,428,0,0,0,0,0,413,2
10045,10412,2567,0,0,589,1341,0,4186,0,278,16,0,0,0,0,4454,0
10046,0,0,2274,0,0,0,0,0,0,430,14,0,0,18758,0,824,3
10049,10246,1796,0,0,1389,0,5262,2479,0,379,10,612,0,0,0,4547,4
10050,0,0,0,0,535,0,0,0,0,291,0,0,0,0,0,939,2
10051,10201,2033,621,0,88,0,0,0,8050,379,0,414,0,0,0,3591,1
10053,9479,0,723,0,36,0,0,5549,0,483,0,0,0,0,0,4156,0
10056,10048,0,0,0,884,0,5523,2320,0,438,16,0,0,0,0,3946,4
10058,8519,2428,1391,0,452,0,5083,0,0,243,0,0,0,0,0,4295,4
10060,0,3906,0,0,0,0,0,0,0,319,15,152,0,0,0,285,2
10068,0,1896,0,0,1402,0,0,0,0,203,0,0,0,0,0,153,2
10077,9048,1045,0,0,19,0,0,0,0,307,0,0,0,0,0,2353,1
10080,0,2978,0,0,0,0,0,0,0,279,0,0,0,0,0,315,2
10081,9597,1329,697,0,68,0,0,1734,6315,515,33,466,0,0,0,4655,1
10082,9686,386,1389,0,629,0,5479,0,0,270,0,470,0,0,0,4456,4
10083,9735,5310,931,0,620,0,0,4219,0,343,15,0,0,0,0,4355,0
10084,10227,1061,0,0,1040,1767,5491,2321,0,360,0,0,0,0,0,3126,4
10085,10302,0,0,0,575,2167,7858,0,0,253,0,0,0,0,0,6077,4
10088,0,2760,0,0,0,0,0,0,0,325,0,0,0,0,0,155,2
10089,0,0,1581,0,959,0,5551,0,0,306,0,0,0,0,0,1530,5
10090,0,965,1104,0,7,0,0,0,0,210,0,0,0,25044,0,901,3
10092,0,3658,0,0,1307,6774,3126,0,0,195,0,0,0,0,0,1888,5
10093,0,2867,0,0,442,0,0,2598,6922,243,0,0,0,0,0,2063,2
10094,9709,2885,1249,0,147,0,0,5724,0,377,0,560,0,0,0,3843,0
10095,0,1239,0,0,160,0,0,0,0,297,14,0,0,0,0,2803,2
10098,0,0,741,0,898,5839,0,0,0,375,0,0,0,0,0,1438,2
10101,9993,0,797,0,1982,0,0,7366,0,391,8,549,0,0,0,3758,0
10107,10329,451,730,0,584,0,0,6636,0,351,25,564,0,0,0,3842,0
10108,0,0,1179,0,100,0,5148,0,0,406,0,0,0,0,0,2099,5
10109,0,1482,0,0,116,2744,7391,0,0,274,0,0,0,0,0,4649,5
10111,10260,0,877,7570,510,0,5548,0,0,0,15,0,0,0,0,5055,6
10112,0,2783,0,0,446,0,0,0,0,437,0,0,0,0,0,610,2
10115,9840,212,0,0,29,0,0,0,0,363,23,0,0,0,0,1608,1
10117,9821,294,0,0,119,8820,0,0,0,281,0,0,0,0,0,5544,1
10118,0,3014,0,0,0,0,0,0,0,242,0,0,0,0,0,477,2
10121,0,0,435,0,0,0,0,0,0,253,14,0,0,19116,0,1624,3
10123,10365,0,1179,0,133,0,6256,0,0,215,15,0,0,0,0,4952,4
10127,6920,2618,0,0,0,0,0,0,0,307,0,0,0,0,0,1118,1
10134,10289,518,0,0,175,2869,6470,0,0,223,0,0,0,0,0,4606,4
10135,0,3265,0,0,12,0,0,0,0,145,0,0,0,0,0,930,2
10136,10622,3585,0,0,1500,2322,5926,0,0,449,21,0,0,0,0,4110,4
10137,9348,0,952,0,1416,0,6087,0,0,268,0,0,0,0,0,3986,4
10141,9928,137,0,0,633,0,0,9468,0,377,117,0,0,0,0,3384,0
10142,0,3717,0,0,797,0,0,0,8751,297,0,0,0,0,0,1493,2
10143,10057,328,0,0,173,1245,8617,0,0,348,0,0,0,0,0,4572,4
10145,1945,0,0,0,664,0,0,0,0,214,0,0,0,0,0,772,2
10146,10773,605,1225,0,824,1764,5363,0,0,232,7,0,0,0,0,3891,4
10147,10662,1477,0,0,835,2880,0,6146,0,324,17,0,0,0,0,2798,0
10150,10991,179,916,0,557,0,6176,2204,0,446,7,0,0,0,0,3948,4
10151,10504,825,1269,0,766,0,6482,0,0,478,0,0,0,0,0,3856,4
10152,9420,1789,0,0,239,0,5471,2567,0,413,9,651,0,0,0,3803,4
10155,605,3044,0,0,0,0,0,0,0,211,0,0,0,0,0,230,2
10157,0,1784,284,0,117,0,7153,0,0,273,98,0,0,0,0,2560,5
10160,9280,78,0,0,0,0,0,0,0,435,76,620,0,0,0,2240,1
10161,0,984,0,0,55,0,0,5718,0,359,0,0,0,0,0,1347,2
10162,8749,834,0,0,24,0,0,0,0,358,164,432,0,0,0,1777,1
10163,9506,0,0,0,21,0,0,0,0,322,9,533,0,0,0,2504,1
10164,0,0,0,0,0,0,0,0,0,31297,0,0,0,0,2461,836,8
10167,6949,1740,1973,0,126,6171,0,0,0,253,0,0,0,0,0,4270,1
10170,10615,0,0,0,0,0,0,0,0,487,9,0,0,0,0,1312,1
10172,10160,2676,1011,0,1527,0,0,4235,0,366,11,0,0,0,0,3891,0
10173,0,0,0,0,936,0,0,0,10833,360,14,0,0,0,0,1647,2
